fuck,bless
fucking,loving 
bitch,person
shit,cake
ass,hand
suck,hold
bastard,guy
idiot,genius
dick,snail
jump off a cliff,I hope you have a nice week
kys,have a lovely day
fuckin,loving 
jump off a building,I hope you have a nice week
bitchass,person hand
cunt,pie
die,humans
cancer,cookies
retard,friend
retarded,friendly
mutt,dude
stupid,smart
waste of oxygen,loving human being
autism,intelligence
pisshead,smartypants
motherfucker,I love my family
motherfucking,I love my friends
fucked,blessed
asshole,*handshake*
fucktard,bless you
